"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre"
"2763",61,0,"Sky High",2001,0,30,7,6,"documentary"
"2764",28,0,"Trading Spaces: Family",2003,0,60,6.4,24,"family"
"2765",8,0,"Grass",2003,0,30,8.1,67,"comedy"
"2766",48,1,"Hustle",2004,2012,60,8.2,20219,"crime"
"2767",9,1,"Kid Notorious",2003,2003,22,8.1,304,"animation"
"2768",10,1,"Merrick & Rosso Unplanned",2003,2004,23,7.6,18,"comedy"
"2769",19,1,"Rupel",2004,2006,43,4.6,24,"crime"
"2770",15,0,"Speden parhaat",2003,0,22,5.5,13,"comedy"
"2771",13,1,"De wet volgens Milo",2004,2005,50,3.7,22,"crime"
"2772",26,0,"Alix",1999,0,26,5.8,6,"adventure"
"2773",8,0,"Les aventures tumultueuses de Jack Carter",2003,0,45,6.5,31,"action"
"2774",37,0,"Dirty Sanchez",2002,0,30,6.7,1531,"action"
"2775",13,1,"The Lyon's Den",2003,2004,60,6.3,142,"drama"
"2776",38,0,"Meorav Yerushalmi",2003,0,50,5.6,13,"drama"
"2777",13,0,"Ottifanten",1993,0,30,5.5,95,"animation"
"2778",99,0,"Szeress most!",2003,0,45,3.3,189,"drama"
"2779",25,0,"Average Joe",2003,0,60,3.7,198,"comedy"
"2780",65,0,"Chilly Beach",2003,0,30,4.9,204,"animation"
"2781",40,1,"The Collector",2004,2006,60,6.9,670,"action"
"2782",26,1,"Fergus McPhail",2004,2004,25,6.3,37,"family"
"2783",8,0,"La hora pico",2001,0,30,6.9,64,"comedy"
"2784",39,1,"It's My Life",2003,2008,45,7.2,8,"talk-show"
"2785",20,0,"Mile vs. tranzicija",2003,0,20,8.3,583,"comedy"
"2786",25,1,"Out of Sight",1996,1999,25,7.6,24,"comedy"
"2787",38,0,"Senkveld med Thomas og Harald",2003,0,55,5.9,255,"talk-show"
"2788",10,0,"Zahle's Top 10",2003,0,25,7.9,10,"comedy"
"2789",13,1,"Animal Cops: Detroit",2002,2009,60,6.9,145,"crime"
"2790",91,1,"Aquí no hay quien viva",2003,2006,60,8.1,2695,"comedy"
"2791",62,0,"Jacob Two-Two",2003,0,24,7.1,409,"animation"
"2792",48,0,"Jakers! The Adventures of Piggley Winks",2003,0,30,7.1,684,"animation"
"2793",22,0,"Abenteuer 1900 - Leben im Gutshaus",2004,0,24,7.6,34,"documentary"
"2794",22,0,"North Mission Road",2003,0,30,8.2,56,"crime"
"2795",7,0,"Pepsi Smash",2003,0,60,6.4,14,"documentary"
"2796",95,1,"Rescue Me",2004,2011,60,8.4,23379,"comedy"
"2797",16,0,"Secret Agent Men",2003,0,30,8.3,9,"adventure"
"2798",13,0,"Wir Deutschen - Eine Reise zu den Schauplätzen der Vergangenheit",1991,0,43,6.7,9,"documentary"
"2799",25,1,"Ha-Yeladim Mi'Givat Napoleon",2001,2004,25,8.1,36,"adventure"
"2800",48,1,"Un dia és un dia",1990,1991,60,5.2,6,"talk-show"
"2801",13,0,"Hey Joel",2003,0,30,5.7,36,"animation"
"2802",15,0,"Jane Goldman Investigates",2003,0,46,7.5,21,"documentary"
"2803",52,0,"The Sleepover Club",2003,0,25,6.6,534,"comedy"
"2804",50,0,"Stizu dolari",2004,0,55,5.3,451,"comedy"
"2805",41,1,"Viva la Bam",2003,2006,30,6.7,7404,"comedy"
"2806",65,0,"The Clinic",2003,0,60,6.4,205,"drama"
"2807",20,1,"Harakanpesä",2003,2004,50,3.7,11,"comedy"
"2808",99,0,"Make Way for Noddy",2001,0,15,4.4,478,"animation"
"2809",12,0,"Touching Evil",2004,0,60,7.9,947,"crime"
"2810",52,1,"W.I.T.C.H.",2004,2006,30,7.2,2110,"action"
"2811",9,0,"Coronation Street: Secrets",2003,0,50,5.9,11,"documentary"
"2812",26,0,"Creepschool",2004,0,26,7.1,104,"animation"
"2813",14,1,"Er du skidt, skat?",2003,2004,28,4.5,8,"comedy"
"2814",9,0,"Gintberg - var det det?",2003,0,58,5.6,20,"comedy"
"2815",10,1,"Grande ourse",2003,2004,60,8.6,106,"fantasy"
"2816",10,0,"I Love the '80s Strikes Back",2003,0,60,8.3,686,"comedy"
"2817",12,0,"Off the Rails",2000,0,30,4.8,5,"documentary"
"2818",16,0,"Voimala",2003,0,50,6.1,15,"talk-show"
"2819",12,1,"The Boot Street Band",1993,1994,25,8.1,14,"comedy"
"2820",13,0,"ILL-ustrated",2003,0,30,7.1,44,"animation"
"2821",87,0,"Kenny vs. Spenny",2002,0,22,7.9,8386,"comedy"
"2822",13,0,"Nemocnice na kraji mesta po dvaceti letech",2003,0,57,3.9,107,"drama"
"2823",32,1,"TV Dober dan",1999,2001,50,7.5,173,"comedy"
"2824",10,0,"AV nu",2003,0,60,5.7,6,"documentary"
"2825",97,0,"Caméra café",2002,0,30,6.7,145,"comedy"
"2826",26,0,"Delta State",2004,0,22,7.6,106,"animation"
"2827",16,1,"Distraction",2003,2004,30,6.8,129,"comedy"
"2828",46,1,"Grijpstra & de Gier",2004,2007,43,6.8,81,"crime"
"2829",8,0,"Infamous",2003,0,60,8,11,"crime"
"2830",26,0,"Initial D: First Stage",1998,0,25,8.4,1703,"action"
"2831",54,1,"Kopspijkers",1995,2005,55,7.6,136,"comedy"
"2832",26,0,"Mental Block",2003,0,30,6.8,25,"comedy"
"2833",31,0,"Pulse",2003,0,60,6.2,13,"documentary"
"2834",64,0,"RTL Boulevard",2001,0,55,3.3,109,"crime"
"2835",80,0,"Raymann is laat",2001,0,40,6.1,75,"animation"
"2836",39,1,"This Is Wonderland",2004,2006,44,8,248,"comedy"
"2837",12,0,"Absolute Power",2003,0,29,8.2,837,"comedy"
"2838",10,0,"The Bronx Bunny Show",2003,0,30,8.1,44,"comedy"
"2839",20,1,"Daring Capers",1999,2001,30,7.7,10,"crime"
"2840",21,1,"Dave the Barbarian",2004,2005,30,7.2,2141,"animation"
"2841",38,1,"Drawn Together",2004,2007,22,7,17214,"animation"
"2842",8,1,"Eagle & Evans",2004,2005,25,5.4,21,"comedy"
"2843",18,1,"Monkey Dust",2003,2005,29,8.5,1702,"animation"
"2844",49,1,"Bishôjo Senshi Sailor Moon",2003,2004,30,7.5,459,"action"
"2845",13,1,"Radio Romans",1994,1995,32,6.1,7,"drama"
"2846",20,0,"Sabine!!",2004,0,45,5.5,15,"comedy"
"2847",26,1,"Sabrina's Secret Life",2003,2004,30,6.5,222,"animation"
"2848",26,1,"Snobs",2003,2004,30,7.2,183,"drama"
"2849",67,0,"Spot",2003,0,28,6,7,"biography"
"2850",39,1,"Tutenstein",2003,2007,22,7,1438,"action"
"2851",40,0,"VH1 Storytellers",1996,0,60,8.1,109,"documentary"
"2852",26,0,"The World of Tosh",2002,0,30,5.8,47,"animation"
"2853",53,1,"Xiaolin Showdown",2003,2006,30,7.5,5641,"action"
"2854",96,1,"Entourage",2004,2011,28,8.5,147658,"comedy"
"2855",54,1,"All Grown Up!",2003,2008,30,5.4,4044,"animation"
"2856",95,0,"Amarte es mi pecado",2004,0,45,7.9,74,"drama"
"2857",50,0,"Astro Boy tetsuwan atomu",2003,0,30,7,274,"action"
"2858",26,1,"Buru Jenda",1999,2000,25,7.4,970,"adventure"
"2859",40,0,"Der Fürst und das Mädchen",2003,0,45,6,30,"family"
"2860",52,1,"Gadget and the Gadgetinis",2001,2009,21,5.3,191,"action"
"2861",54,1,"Peep Show",2003,2015,25,8.6,42464,"comedy"
"2862",26,0,"Sakigake!! Kuromati Kôkô",2003,0,12,7.9,577,"animation"
"2863",23,0,"Seikai no senki",2000,0,25,7.6,333,"animation"
"2864",18,1,"Slings and Arrows",2003,2006,60,8.6,2222,"comedy"
"2865",7,1,"Atletico Partick",1995,1996,30,7.2,20,"comedy"
"2866",67,0,"Cento vetrine",2001,0,40,3.3,114,"comedy"
"2867",8,1,"Franco Ve'Spector",2003,2004,50,7.9,7,"crime"
"2868",31,1,"High Chaparall",2003,2008,60,8.2,576,"comedy"
"2869",26,1,"My Dad the Rock Star",2003,2004,30,5,306,"animation"
"2870",20,0,"Na Wspólnej",2003,0,30,3.4,128,"comedy"
"2871",8,1,"Para§raf 9",2003,2003,45,5,8,"crime"
"2872",12,1,"Porkpie",1995,1996,25,6.6,17,"comedy"
"2873",51,1,"Transformer: Super Link",2004,2004,30,6.1,548,"action"
"2874",12,0,"We Know Where You Live",1997,0,25,6.3,35,"comedy"
"2875",10,0,"De 100% ab show",2002,0,18,6.6,10,"comedy"
"2876",43,1,"The 4400",2004,2007,43,7.4,39108,"drama"
"2877",13,0,"The Brini Maxwell Show",2003,0,30,7.3,30,"comedy"
"2878",95,1,"Clap!... El lugar de tus sueños",2003,2004,60,3.3,21,"drama"
"2879",13,1,"Confessions of Crime",1991,1993,30,7.6,19,"documentary"
"2880",30,0,"Creepy Canada",2002,0,60,7.8,77,"documentary"
"2881",22,1,"Fireflies",2004,2004,60,7.3,29,"drama"
"2882",24,0,"Initial D: Fourth Stage",2004,0,30,8.4,621,"action"
"2883",63,1,"Kink",2001,2005,30,7.2,52,"documentary"
"2884",24,1,"Lo Kolel Sherut",1990,1992,30,7.2,16,"drama"
"2885",26,1,"No Angels",2004,2006,47,7.7,329,"comedy"
"2886",13,0,"Real Magic TV",2002,0,30,8,125,"documentary"
"2887",94,0,"Store studio",2002,0,30,5.6,24,"comedy"
"2888",32,1,"Wildboyz",2003,2006,30,7.3,3610,"adventure"
"2889",17,0,"Ídolos",2003,0,75,5.8,52,"family"
"2890",24,1,"L'avvocato",2003,2004,55,6.1,10,"drama"
"2891",68,0,"Deep Sea Detectives",2003,0,45,7.7,40,"documentary"
"2892",11,0,"House of Rock",2000,0,15,7.9,40,"animation"
"2893",26,0,"Timm Thaler",2002,0,24,7,23,"adventure"
"2894",96,0,"Tro",1997,0,28,5.8,6,"documentary"
"2895",9,0,"Kisarazu Cat's Eye",2002,0,45,8.2,142,"comedy"
"2896",17,1,"Bij Ron of André",2000,2000,30,4.5,10,"comedy"
"2897",23,1,"Homo Zapping",2003,2018,30,6.7,137,"comedy"
"2898",13,0,"Porno Valley",2004,0,22,6.6,136,"documentary"
"2899",19,1,"Wife Swap",2003,2017,60,5.3,249,"family"
"2900",21,0,"Der Elefant: Mord verjährt nie",2004,0,45,7.5,38,"crime"
"2901",39,1,"Jersild på DR2",2004,2005,28,6.1,8,"talk-show"
"2902",22,0,"Shooting Stars",2004,0,28,5.8,42,"comedy"
"2903",33,0,"Store danskere",2003,0,38,7.2,11,"biography"
"2904",11,1,"The Toronto Show",2003,2004,60,5.8,147,"comedy"
"2905",20,0,"Gyeoul yeonga",2002,0,60,8.1,769,"romance"
"2906",34,0,"Killinaskully",2003,0,25,6.3,185,"comedy"
"2907",9,0,"Taiho shichauzo",2002,0,46,7.4,49,"comedy"
"2908",12,0,"Britain's Best Sitcom",2004,0,60,6.9,17,"comedy"
"2909",24,1,"Going Wild with Jeff Corwin",1997,1999,30,8.3,29,"documentary"
"2910",26,1,"Heat Guy J",2002,2004,25,7.4,228,"action"
"2911",12,1,"Nighty Night",2004,2005,30,8.1,1836,"comedy"
"2912",24,1,"Paavo ja Raili",2004,2006,30,6.4,20,"comedy"
"2913",12,0,"Pelkovaara",2004,0,50,6.9,28,"comedy"
"2914",12,0,"Significant Others",2004,0,30,7.9,100,"comedy"
"2915",29,1,"Big Bag",1996,1998,60,7.1,45,"animation"
"2916",50,1,"Les Bougon: C'est aussi ça la vie",2004,2006,30,8,545,"comedy"
"2917",13,1,"Manolito Gafotas",2004,2004,60,4.1,35,"comedy"
"2918",18,1,"Paco y Veva",2004,2004,60,4,35,"comedy"
"2919",28,1,"Travel Sick",2001,2003,25,8.2,86,"action"
"2920",74,0,"Tyler's Ultimate",2003,0,30,8.2,62,"documentary"
"2921",19,0,"Culpable de este amor",2004,0,60,8,37,"drama"
"2922",9,1,"Drengene fra Angora",2004,2004,28,7.7,967,"comedy"
"2923",16,0,"Myeongnyang sonyeo seonggonggi",2002,0,60,7.7,46,"drama"
"2924",55,0,"Religion & Ethics Newsweekly",1997,0,30,7.8,12,"news"
"2925",14,1,"The Russ Abbot Show",1994,1995,30,5.6,10,"comedy"
"2926",74,0,"Wide Angle",2002,0,60,7.8,47,"documentary"
"2927",13,0,"Wilmot",1999,0,30,6.2,5,"comedy"
"2928",49,1,"American Hot Rod",2004,2007,60,5.5,320,"documentary"
"2929",12,0,"Bob Monkhouse on the Spot",1995,0,30,7.6,5,"comedy"
"2930",7,1,"Directors Commentary",2004,2004,18,7.8,59,"comedy"
"2931",79,1,"LazyTown",2002,2016,30,5.8,4126,"adventure"
"2932",12,1,"Murder in Suburbia",2004,2005,60,7.2,871,"crime"
"2933",9,0,"Mysterious Journeys",2002,0,30,8.1,29,"documentary"
"2934",25,1,"CWC World",2003,2003,14,7.7,35,"comedy"
"2935",7,1,"Game Over",2004,2004,30,6.2,100,"action"
"2936",69,0,"alt.news 26:46",1999,0,26,7.5,24,"comedy"
"2937",14,1,"55 Degrees North",2004,2005,60,7.9,254,"drama"
"2938",27,0,"André van Duin op z'n best!",2000,0,30,6,17,"comedy"
"2939",78,1,"Cheap Seats: Without Ron Parker",2004,2006,30,8.3,758,"comedy"
"2940",13,1,"The Cooks",2004,2005,50,7,47,"comedy"
"2941",14,0,"Grumpy Old Men",2003,0,40,8,141,"comedy"
"2942",65,0,"JoJo's Circus",2003,0,30,5.4,370,"animation"
"2943",10,0,"NY Graham Norton",2004,0,50,6,31,"comedy"
"2944",19,0,"Police, Camera, Action",1994,0,26,6.8,45,"crime"
"2945",26,1,"Revelations",2002,2003,30,6.5,22,"drama"
"2946",13,0,"The Wrong Coast",2004,0,30,6.7,156,"animation"
"2947",16,0,"Zero Hour",2004,0,60,8.2,261,"biography"
"2948",20,0,"18 - Allein unter Mädchen",2004,0,23,6.6,104,"comedy"
"2949",20,0,"3 Non-Blondes",2003,0,30,7,114,"comedy"
"2950",13,0,"Abenobashi mahô shôtengai",2002,0,24,7.4,506,"action"
"2951",12,1,"Ai yori aoshi 'enishi'",2003,2004,25,7.1,257,"animation"
"2952",66,1,"The Batman",2004,2008,30,7.3,8071,"action"
"2953",17,0,"Bodies",2004,0,60,8.5,387,"drama"
"2954",39,1,"Hos Martin",2004,2005,23,4.5,242,"comedy"
"2955",10,0,"The Jury",2004,0,60,6.9,99,"crime"
"2956",20,0,"Life Begins",2004,0,50,7.8,208,"comedy"
"2957",20,0,"Noriko Show",2004,0,25,5,50,"comedy"
"2958",10,0,"Olliver's Adventures",2003,0,22,5.9,28,"animation"
"2959",13,0,"Onegai Twins",2003,0,30,6.7,465,"animation"
"2960",12,0,"Powers",2004,0,25,7.6,10,"sci-fi"
"2961",19,0,"Guilty or Innocent?",2005,0,46,8.3,43,"crime"
"2962",18,0,"Team Antonsen",2004,0,30,8.2,733,"comedy"
"2963",39,0,"This Life",2004,0,25,4.9,15,"drama"
"2964",71,0,"This Week",2003,0,45,5.8,123,"news"
"2965",13,0,"Zoids Fuzors",2003,0,30,6.5,82,"action"
"2966",24,1,"Maburaho",2003,2004,25,6.9,212,"animation"
"2967",17,1,"Oh, Espanya!",1996,1997,30,7.1,12,"comedy"
"2968",8,1,"Proof",2004,2005,60,7.4,82,"drama"
"2969",15,0,"Schulmädchen",2002,0,25,5.6,136,"comedy"
"2970",26,1,"Summerland",2004,2005,60,7.1,3371,"drama"
"2971",24,0,"Tramitz & Friends",2004,0,12,5,113,"comedy"
"2972",7,0,"Zaginiona",2003,0,47,5.8,13,"drama"
"2973",13,0,"Jûbei ninpûchô: Ryuhogyoku-hen",2003,0,30,7,1193,"action"
"2974",11,0,"Cerní baroni",2004,0,53,6.6,59,"comedy"
"2975",27,0,"Diritto di difesa",2004,0,50,3.3,14,"mystery"
"2976",13,1,"Het eiland",2004,2005,35,8.6,1941,"comedy"
"2977",54,0,"The Friday Zone",1999,0,60,9,8,"family"
"2978",10,0,"Headhunters",2004,0,60,5.6,19,"drama"
"2979",22,0,"Moccasin Flats",2003,0,30,7.8,36,"drama"
"2980",12,0,"Sairaskertomuksia",2004,0,30,7.8,25,"comedy"
"2981",98,0,"Spynet",2002,0,30,7.2,18,"action"
"2982",10,0,"Temps dur",2004,0,60,8,41,"drama"
"2983",52,0,"Wicked Science",2004,0,30,7.5,512,"adventure"
"2984",20,1,"Casi perfectos",2004,2005,70,5.1,35,"comedy"
"2985",90,0,"El Deseo",2004,0,60,8,33,"drama"
"2986",96,0,"Eye for an Eye",2003,0,30,4.5,114,"comedy"
"2987",14,0,"Der Heiland auf dem Eiland",2004,0,25,3.5,22,"comedy"
"2988",7,1,"Ultimate Film Fanatic",2004,2005,30,7.7,13,"comedy"
"2989",17,1,"The Worst Week of My Life",2004,2006,29,8,1481,"comedy"
"2990",26,1,"Living with Fran",2005,2007,30,6,1053,"comedy"
"2991",22,1,"Awesome Adventures",1998,2015,30,6.2,25,"documentary"
"2992",27,1,"For the Love of...",1997,1998,60,8.2,8,"talk-show"
"2993",20,1,"Legends",2000,2002,20,6.4,19,"documentary"
"2994",8,1,"Tango",1992,1992,55,5.8,16,"comedy"
"2995",26,1,"Witch Hunter Robin",2002,2003,25,7.4,1679,"action"
"2996",53,0,"Berlin Bohème",2000,0,24,4.5,52,"drama"
"2997",52,0,"Der Dicke",2005,0,48,7.8,77,"crime"
"2998",46,0,"Tavis Smiley",2004,0,30,5.7,312,"talk-show"
"2999",9,1,"Ahava Me'ever Lapina",2003,2005,25,4.5,31,"drama"
"3000",22,0,"Fort Boyard - Netherlands",1991,0,60,6.1,16,"adventure"
"3001",17,0,"Milkshake",1994,0,30,6.4,12,"comedy"
"3002",8,0,"Pekko aikamiespoika",1993,0,20,4,43,"comedy"
"3003",10,1,"Stand Up!",2004,2004,30,5.8,6,"comedy"
"3004",12,0,"If...",2004,0,60,7.2,13,"drama"
"3005",42,0,"King",2003,0,25,5.9,54,"animation"
"3006",55,1,"Ned's Declassified School Survival Guide",2004,2007,22,7.4,13500,"comedy"
"3007",18,0,"Derren Brown: Trick of the Mind",2004,0,30,8.7,538,"documentary"
"3008",50,1,"Higglytown Heroes",2004,2008,30,5.2,312,"animation"
"3009",13,1,"Law & Order: Trial by Jury",2005,2006,60,6.4,1056,"crime"
"3010",13,0,"Method & Red",2004,0,30,7.4,553,"comedy"
"3011",66,1,"Mis adorables vecinos",2004,2006,60,6.3,476,"comedy"
"3012",13,0,"Sensei no o-jikan - Doki doki school hours",2004,0,24,6.7,21,"animation"
"3013",7,0,"Shane",2004,0,30,6.2,52,"comedy"
"3014",49,0,"Shinsengumi!",2004,0,45,8.3,87,"drama"
"3015",26,0,"Shoebox Zoo",2004,0,25,6.8,130,"adventure"
"3016",15,0,"Zipi y Zape",2003,0,13,3.5,21,"animation"
"3017",73,1,"Battlestar Galactica",2004,2009,44,8.7,135477,"action"
"3018",36,0,"Body of Evidence",2001,0,30,7.7,97,"crime"
"3019",29,1,"Dead Famous",2004,2006,45,6.7,152,"biography"
"3020",18,0,"De erfenis",2004,0,60,6.9,52,"drama"
"3021",14,1,"Inspector Max",2004,2005,50,4.9,343,"action"
"3022",51,1,"A Minha Familia É Uma Animação",2001,2003,45,5.3,101,"adventure"
"3023",29,1,"The Mysti Show",2004,2005,20,7.2,36,"drama"
"3024",9,0,"O ztracené lásce",2002,0,52,5.8,21,"family"
"3025",22,1,"Quintuplets",2004,2005,30,7.1,962,"comedy"
"3026",30,0,"Seks som oss",2004,0,25,6.2,53,"comedy"
"3027",26,0,"Shadow Skill - Eigi",1998,0,25,6.9,75,"action"
"3028",13,1,"Shorties Watchin' Shorties",2004,2004,30,6.5,231,"animation"
"3029",8,0,"Signe & BS på afveje",2003,0,25,6,5,"documentary"
"3030",34,1,"Wild West Tech",2003,2005,60,8.2,149,"documentary"
"3031",18,0,"Win, Lose or Draw Late",2004,0,30,2.5,6,"comedy"
"3032",7,0,"Území bílých králu",1991,0,51,6.6,16,"action"
"3033",11,0,"Animal Cops: Houston",2003,0,60,7.8,284,"crime"
"3034",26,1,"Black Tie Nights",2004,2005,30,4.4,193,"drama"
"3035",26,1,"Captain Scarlet",2005,2005,21,7.8,269,"action"
"3036",20,0,"Charlie Jade",2005,0,45,7.3,1009,"drama"
"3037",63,0,"Doc Martin",2004,0,46,8.3,9221,"comedy"
"3038",22,0,"Murphy's Law",2003,0,60,7.7,891,"crime"
"3039",29,0,"The Private Life of a Masterpiece",2001,0,50,8.7,180,"documentary"
"3040",47,0,"Rides",2003,0,60,7.6,69,"documentary"
"3041",12,0,"Salli mun nauraa",1993,0,25,6,5,"comedy"
"3042",7,0,"93 Faubourg Saint-Honoré",2003,0,52,5.2,11,"talk-show"
"3043",24,0,"Bakuretsu tenshi",2004,0,24,6.8,578,"action"
"3044",13,0,"Charlotte Roche trifft...",2003,0,45,6.7,23,"comedy"
"3045",54,1,"Dae Jang-geum",2003,2004,60,8.6,2277,"biography"
"3046",26,1,"Devilman Lady",1998,1999,30,6.5,163,"adventure"
"3047",46,0,"La escuelita VIP",2004,0,30,5.8,33,"comedy"
"3048",14,0,"House of Clues",2003,0,30,6.2,6,"mystery"
"3049",27,1,"Huff",2004,2006,55,8,3170,"comedy"
"3050",12,0,"Malandras",2003,0,60,7.8,12,"comedy"
"3051",58,0,"No hay 2 sin 3",2004,0,60,2.6,98,"comedy"
"3052",21,1,"North Shore",2004,2005,60,6.9,869,"drama"
"3053",12,0,"Sci-Squad",1999,0,30,7.2,11,"family"
"3054",24,0,"Sukurappudo purinsesu",2003,0,23,7.6,624,"adventure"
"3055",26,1,"Spaghetti Family",2003,2004,26,6.2,17,"animation"
"3056",13,0,"Takahashi Rumiko gekijô: Ningyo no mori",2003,0,22,7.5,116,"adventure"
"3057",50,1,"Tokusou sentai Dekarenjâ",2004,2005,25,8.2,116,"action"
"3058",36,1,"XHDRbZ",2002,2007,30,8.1,209,"comedy"
"3059",57,0,"Anke Late Night",2004,0,60,3.4,57,"comedy"
"3060",43,1,"Blue Collar TV",2004,2006,30,4.9,747,"comedy"
"3061",15,1,"Center of the Universe",2004,2005,30,5.1,100,"comedy"
"3062",11,1,"Clubhouse",2004,2005,60,7.6,543,"drama"
"3063",10,1,"Dr. Vegas",2004,2005,60,5.3,167,"crime"
"3064",12,0,"Green Screen Show",2004,0,30,7.8,240,"comedy"
"3065",8,1,"Hawaii",2004,2004,60,6.8,105,"action"
"3066",22,1,"Jack & Bobby",2004,2005,60,8,1977,"drama"
"3067",39,0,"Uit het leven gegrepen: Kaat & Co",2004,0,30,6.6,45,"comedy"
"3068",13,1,"LAX",2004,2005,60,6.2,336,"drama"
"3069",13,1,"Life as We Know It",2004,2005,43,8,2935,"comedy"
"3070",10,0,"Lift",2004,0,35,7.4,45,"comedy"
"3071",22,1,"Listen Up",2004,2005,30,6,356,"comedy"
"3072",50,0,"Léa Parker",2004,0,52,3.8,50,"action"
"3073",20,1,"Medical Investigation",2004,2005,60,7.1,880,"drama"
"3074",55,0,"Montagskinder",1995,0,24,6.1,32,"drama"
"3075",13,1,"The Mountain",2004,2005,60,7,251,"drama"
"3076",44,1,"Rodney",2004,2008,30,6.5,558,"comedy"
"3077",19,1,"Complete Savages",2004,2005,21,7.4,1650,"comedy"
"3078",27,0,"Traumtänzer - Das Kulturbüro",1994,0,30,6,24,"drama"
"3079",12,0,"Von Mann zu Mann",1998,0,30,6.6,19,"drama"
"3080",15,0,"Crossballs: The Debate Show",2004,0,30,8.1,120,"comedy"
"3081",10,0,"The Hook Up",2008,0,22,7.3,7,"family"
"3082",13,0,"The Inside",2005,0,42,8.1,1062,"crime"
"3083",8,0,"Jimmy's Farm",2004,0,59,8.2,49,"documentary"
"3084",13,0,"Jonny Zero",2005,0,60,8.5,182,"crime"
"3085",22,1,"Kevin Hill",2004,2005,60,6.7,686,"drama"
"3086",13,0,"Life on a Stick",2005,0,30,5.4,417,"comedy"
"3087",13,1,"Second Time Around",2004,2005,30,7.1,49,"comedy"
"3088",64,1,"Veronica Mars",2004,2007,44,8.4,59076,"crime"
"3089",7,0,"The WB's Superstar USA",2004,0,60,7.2,86,"comedy"
"3090",12,0,"Who Wants to Be a Super Millionaire",2004,0,60,6.9,36,"comedy"
"3091",12,1,"Adoption Stories",2003,2004,30,8.1,15,"documentary"
"3092",74,0,"Big Brother's Efourum",2004,0,23,5.7,62,"talk-show"
"3093",8,0,"Britain's Finest",2003,0,70,8.5,31,"documentary"
"3094",8,0,"Good Girls Don't...",2004,0,30,7.4,77,"comedy"
"3095",13,0,"Patrick's Planet",2005,0,30,4.8,6,"comedy"
"3096",10,0,"M.K. 22",2004,0,22,8,129,"animation"
"3097",16,1,"Show Me Yours",2004,2005,30,4.6,206,"comedy"
"3098",26,0,"Un monde à part",2004,0,60,8.6,75,"drama"
"3099",10,0,"Unscripted",2005,0,30,7.2,376,"comedy"
"3100",8,1,"Agente 700",2001,2001,30,5,5,"comedy"
"3101",31,0,"American Casino",2004,0,60,8.2,55,"documentary"
"3102",9,0,"Clever! - Die Show, die Wissen schafft",2004,0,60,5.7,81,"documentary"
"3103",31,0,"Cédric",2001,0,13,7.9,360,"animation"
"3104",13,0,"The Graham Norton Effect",2004,0,30,7.1,138,"comedy"
"3105",8,0,"Landscape Mysteries",2003,0,30,7.9,18,"documentary"
"3106",30,0,"Montagsgeschichten",1997,0,30,5,30,"drama"
"3107",15,1,"NASCAR Drivers: 360",2004,2005,60,7.5,25,"documentary"
"3108",38,1,"Power Rangers S.P.D.",2005,2005,22,6.4,1977,"action"
"3109",51,0,"Rave",2001,0,24,7.2,229,"animation"
"3110",10,0,"Scream Team",2002,0,45,7.5,20,"documentary"
"3111",17,1,"The Smoking Room",2004,2005,30,7.9,715,"comedy"
"3112",7,0,"Trace Evidence: The Case Files of Dr. Henry Lee",2004,0,60,7.5,25,"crime"
"3113",15,0,"Dr. Zitbag's Transylvania Pet Shop",1994,0,30,7.2,249,"animation"
"3114",90,0,"Bela ladja",2006,0,50,6,904,"comedy"
"3115",11,0,"Alarm für Cobra 11 - Einsatz für Team 2",2003,0,45,4.3,233,"action"
"3116",30,1,"GamePro TV",1991,1997,30,8.7,28,"talk-show"
"3117",9,1,"Local Heroes",1992,2000,30,8.8,13,"documentary"
"3118",54,0,"Open Access",2004,0,30,7.8,10,"adventure"
"3119",8,0,"Sommerprogrammet ved Jan Elhøj",2004,0,25,6.4,5,"comedy"
"3120",21,1,"Jake in Progress",2005,2006,60,6.2,304,"comedy"
"3121",65,1,"Zoey 101",2005,2008,30,6,11491,"comedy"
"3122",12,0,"Distant Shores",2005,0,50,7.3,105,"comedy"
"3123",21,1,"The Mighty Boosh",2003,2007,30,8.4,18017,"comedy"
"3124",11,0,"Puraido",2004,0,50,8.1,271,"drama"
"3125",13,0,"Queer Eye for the Straight Girl",2005,0,60,4.3,44,"comedy"
"3126",41,1,"Unfabulous",2004,2007,24,6.2,2850,"comedy"
"3127",7,1,"ALF's Hit Talk Show",2004,2004,30,5.5,71,"comedy"
"3128",62,1,"Avatar: The Last Airbender",2003,2008,23,9.2,170464,"action"
"3129",32,1,"Lads Army",2002,2006,60,7.7,115,"comedy"
"3130",95,1,"Code Lyoko",2003,2007,26,7.3,3720,"action"
"3131",13,0,"Cuentos clásicos de terror",2004,0,45,3.8,8,"mystery"
"3132",54,1,"Ideal",2005,2011,30,8.2,2205,"comedy"
"3133",19,0,"Panadería los Felipe",2004,0,60,6.3,6,"comedy"
"3134",77,0,"The Venture Bros.",2003,0,22,8.5,20866,"animation"
"3135",8,0,"The Assistant",2004,0,25,6.7,182,"comedy"
"3136",22,0,"Hospital el paisa",2004,0,30,6,27,"comedy"
"3137",46,0,"Industrial Revelations",2002,0,30,8.7,75,"documentary"
"3138",7,0,"NYPD 24/7",2004,0,60,7.5,11,"documentary"
